Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1176.9202	255.81155	-758.75104	-1632.3789	-468.26987	265.67087	-1.2649395	-829.0127	200.0	200.0	3999	-32.905083	25.357584	5.9085393	-116.1147	32.032146	10.269553	12.2262282371521
2	-1279.6862	234.09122	-769.0351	-1703.6223	-1602.3927	39.381252	-1517.9458	-1649.3494	200.0	200.0	7999	-91.16858	32.614807	6.563387	-168.10605	88.846275	49.268692	28.002578020095825
3	-1151.8137	459.18365	-1.6804914	-1689.2936	-1436.728	128.94087	-1191.1884	-1623.3219	200.0	200.0	11999	-125.63689	42.098217	12.049846	-210.35362	122.99055	92.27494	44.38408541679382
4	-708.0324	643.7916	-1.4730945	-1633.732	-489.66406	407.35263	-117.37497	-1064.978	200.0	200.0	15999	-137.92818	39.146282	-13.521148	-217.06233	135.6704	114.84973	60.49185013771057
5	-151.52228	88.3841	-0.18519977	-402.16528	-125.3455	75.70151	-0.18959028	-242.9966	200.0	200.0	19999	-150.925	50.89262	-73.361916	-247.55951	149.08319	131.81694	77.03303480148315
6	-150.13197	96.07217	-0.3188479	-419.1558	-200.12439	111.068634	-131.32198	-442.22995	200.0	200.0	23999	-147.23872	60.737858	-69.34882	-264.6206	145.40709	125.41238	93.77352333068848
7	-222.56992	154.54768	-0.07029112	-505.77246	-213.26799	100.642944	-0.13157439	-354.74588	200.0	200.0	27999	-138.97758	67.49817	-61.011135	-275.96027	137.43727	127.80512	110.80013370513916
8	-226.70479	138.57146	-0.21283258	-479.88943	-183.28937	82.78254	-114.39025	-367.45523	200.0	200.0	31999	-130.42621	71.16876	-52.260033	-281.46686	128.94627	118.10234	127.060542345047
9	-173.23056	117.91772	-0.064561225	-382.16156	-269.72867	119.42435	-116.29995	-487.26355	200.0	200.0	35999	-119.73709	72.65074	-44.91267	-283.63013	118.2878	99.5447	143.36086583137512
10	-236.35721	151.32794	-0.10808949	-479.2326	-159.72845	97.643326	-0.08331404	-253.73518	200.0	200.0	39999	-107.35113	72.72564	-42.667477	-282.65012	105.93723	87.50014	164.41320157051086
