Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1222.4441	295.94788	-843.1464	-1737.6565	-1514.8689	61.658516	-1443.6978	-1631.4558	200.0	200.0	3999	-31.820576	24.653862	3.464602	-85.66841	31.567348	14.600813	12.849860668182373
2	-1276.9803	314.59375	-757.72107	-1852.8884	-1598.4539	54.100464	-1483.4642	-1657.727	200.0	200.0	7999	-92.7936	38.058422	-0.5109587	-159.9082	90.53571	50.15235	29.289635181427002
3	-1402.7367	286.58633	-875.60626	-1651.6649	-1560.0991	79.097084	-1400.8353	-1642.8801	200.0	200.0	11999	-118.15222	47.050423	5.9637756	-202.61635	115.07259	81.53106	45.73086428642273
4	-1199.2681	611.33575	-5.1786194	-1641.0833	-872.27405	500.99542	-0.06807546	-1271.0387	200.0	200.0	15999	-137.13744	47.041145	-35.2135	-247.08047	135.31844	101.17352	62.35964894294739
5	-311.01544	290.34683	-3.1434371	-1049.5632	-224.96696	121.59614	-4.9758005	-417.2034	200.0	200.0	19999	-161.1431	46.81591	-79.59087	-273.9708	159.33829	137.02362	79.36870765686035
6	-176.39896	104.53515	-1.392815	-355.27426	-153.57791	47.40682	-126.660164	-252.32443	200.0	200.0	23999	-164.58049	59.596	-67.5405	-293.19595	162.55795	135.62108	96.36020874977112
7	-162.5856	97.59978	-3.7111611	-370.79596	-197.95822	72.66853	-117.869934	-354.97565	200.0	200.0	27999	-151.33629	74.49934	-46.225178	-306.821	149.15656	133.06166	113.43559575080872
8	-121.134056	64.23861	-1.1654354	-239.69594	-156.63528	92.498215	-2.556121	-365.45154	200.0	200.0	31999	-127.21071	86.29307	-23.002651	-313.65854	124.72792	115.39116	130.60495924949646
9	-114.49258	58.36745	-1.5610538	-243.05858	-178.0735	93.22135	-3.7048283	-321.63553	200.0	200.0	35999	-101.9287	91.452065	-3.127614	-312.97888	99.421074	84.7729	147.29326605796814
10	-165.02592	88.62529	-0.3454825	-325.15106	-145.27177	90.1238	-0.06260971	-349.78384	200.0	200.0	39999	-77.41543	93.33495	10.995295	-313.4427	74.90911	68.67599	163.78175330162048
