Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1305.3623	278.12463	-908.26556	-1718.0369	-895.72266	550.5999	-130.2984	-1391.5623	200.0	200.0	3999	-40.928127	26.968576	0.7943129	-108.1214	39.9612	9.714463	17.328543424606323
2	-1163.5878	284.6322	-744.3639	-1706.3762	-460.51822	551.60114	-1.8064295	-1493.5363	200.0	200.0	7999	-96.17923	37.44562	-0.7364509	-189.96812	93.36172	47.26284	39.56475758552551
3	-968.4164	638.5341	-0.9474293	-1653.9702	-1005.196	728.4182	-115.26862	-1654.8202	200.0	200.0	11999	-111.14147	59.23377	41.496693	-234.88081	106.887375	73.64536	62.239707708358765
4	-151.11636	94.226456	-0.7674478	-383.80435	-185.4356	88.012955	-1.8950545	-332.05963	200.0	200.0	15999	-86.48642	80.25966	38.702263	-258.28122	82.566154	69.734856	86.22671556472778
5	-141.14456	89.79351	-0.0885951	-371.51163	-72.70789	57.645767	-1.2864698	-125.07174	200.0	200.0	19999	-56.531277	83.37675	42.20102	-257.7959	53.106293	51.846497	109.66219115257263
6	-166.66092	87.4306	-0.72742456	-357.2968	-153.4267	52.696484	-114.15216	-237.47737	200.0	200.0	23999	-40.47342	77.73752	38.97204	-243.19623	37.796318	36.111095	132.9284484386444
7	-148.06023	86.137695	-0.34619382	-345.37973	-150.65382	99.72215	-0.5404976	-327.48196	200.0	200.0	27999	-31.487875	73.529274	37.596684	-232.80429	29.27655	28.117641	156.22288465499878
8	-158.13766	79.93934	-0.59413457	-315.15964	-132.12698	82.48187	-0.78809386	-354.7987	200.0	200.0	31999	-27.104368	70.24501	34.205505	-230.11285	25.194527	25.352667	179.8222382068634
9	-155.43756	65.729774	-1.1537082	-257.99777	-120.04918	53.554047	-1.425933	-240.66835	200.0	200.0	35999	-24.352238	67.15733	30.122824	-230.23787	22.68441	22.820307	203.28016710281372
10	-180.87991	89.952324	-1.7591311	-362.13846	-205.67569	118.842575	-1.361394	-359.22623	200.0	200.0	39999	-24.132597	64.82819	31.10632	-230.04056	22.666742	20.985098	226.90611028671265
