Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1335.5255	290.7187	-769.1785	-1746.8286	-1401.5911	471.27783	-1.9174799	-1640.2625	200.0	200.0	3999	-45.74455	29.60518	7.856396	-108.91749	45.062374	12.60615	17.389083862304688
2	-1151.0302	285.07632	-758.7738	-1815.542	-725.3635	419.98734	-126.116905	-1141.0355	200.0	200.0	7999	-97.89233	41.928722	15.200895	-182.82196	94.97546	50.543995	40.75239157676697
3	-779.41986	612.7804	-1.3751569	-1734.1725	-132.19583	38.976562	-114.941986	-248.6809	200.0	200.0	11999	-108.83186	69.03033	52.249775	-227.804	104.35606	69.80259	64.56895542144775
4	-156.92337	117.053535	-1.5499178	-509.79697	-121.52321	72.198395	-3.5056496	-232.71481	200.0	200.0	15999	-68.62249	85.81759	59.481533	-233.64444	64.32835	47.89254	88.71971940994263
5	-150.41092	70.777245	-4.4573574	-249.06496	-136.96156	98.90453	-6.0132446	-256.27393	200.0	200.0	19999	-43.20242	75.909744	51.50801	-233.4925	40.07727	29.463982	112.7364776134491
6	-134.73619	60.825317	-4.042472	-244.2884	-151.4241	101.825	-4.120613	-244.80522	200.0	200.0	23999	-35.589516	68.951256	29.489334	-223.56413	33.31814	23.115618	137.21017026901245
7	-140.60898	88.35671	-2.432854	-390.86475	-107.546814	76.93178	-4.212511	-225.75917	200.0	200.0	27999	-33.167572	67.532005	22.239061	-230.39586	31.300041	20.747782	161.22973895072937
8	-155.78354	52.453644	-114.71812	-254.18745	-173.05466	98.87922	-0.39435792	-263.02402	200.0	200.0	31999	-31.716988	65.94218	17.241552	-236.54898	30.056625	19.346493	185.48138451576233
9	-161.08774	93.12693	-4.285022	-365.43152	-112.569496	36.1007	-5.100354	-129.02104	200.0	200.0	35999	-29.21751	65.13916	18.740038	-243.70677	27.686062	20.511484	210.00369572639465
10	-157.25325	73.07673	-1.8276514	-250.66692	-158.5553	50.906948	-118.74153	-245.66794	200.0	200.0	39999	-27.092237	64.26793	18.777315	-246.44127	25.658876	17.5596	234.19293689727783
