Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1331.1202	287.50323	-873.9185	-1788.9768	-980.3168	94.87642	-817.41406	-1095.5216	200.0	200.0	3999	-40.73876	28.16621	0.6376036	-132.79527	-40.834297	28.07777	0.42886704	-128.9971	0.10365409	1.009286	6.011816	-9.098037	40.59698	22.877333	27.95579195022583
2	-1227.507	244.66864	-781.8067	-1593.0372	-1518.2922	68.43143	-1431.7736	-1616.821	200.0	200.0	7999	-118.34721	35.152508	-1.9361506	-193.14789	-118.32842	35.341347	-3.3001745	-192.73917	0.97396874	1.3329911	5.3986206	-10.36378	117.581696	155.98262	64.0719985961914
3	-1268.4958	254.36346	-864.8516	-1562.4181	-1285.7677	314.31815	-844.81915	-1568.4812	200.0	200.0	11999	-176.47322	36.291763	-58.129364	-254.78232	-176.43555	36.41639	-61.71063	-251.42352	0.9089222	1.3203818	5.618115	-10.240794	175.7865	318.98145	105.86455297470093
4	-1344.3223	129.24707	-1016.71954	-1532.3624	-1214.4545	119.74417	-1031.9113	-1325.7797	200.0	200.0	15999	-224.22374	31.931944	-106.72053	-295.75415	-224.2219	31.938402	-103.79928	-288.6965	0.941532	1.3907582	5.3826904	-8.447358	224.47704	519.3553	148.28729009628296
5	-1199.3251	106.315735	-945.6459	-1352.2494	-1189.8402	39.418938	-1085.5192	-1228.1417	200.0	200.0	19999	-284.90146	25.123634	-216.72108	-353.5466	-284.91846	24.566225	-217.08104	-354.14075	0.5130362	1.1782186	5.5431166	-8.865369	285.85046	801.27374	191.87379145622253
6	-867.20886	168.65689	-638.62256	-1277.8036	-631.95734	15.018343	-591.4726	-644.31616	200.0	200.0	23999	-330.43256	22.877647	-262.544	-402.64725	-330.43616	22.686539	-265.30453	-403.9026	0.5499182	1.1607418	5.0299015	-11.582487	331.09845	1056.2333	228.88928890228271
7	-687.8695	56.332905	-597.3917	-769.6269	-567.3049	100.44336	-436.24646	-753.9269	200.0	200.0	27999	-354.42584	25.167418	-300.76462	-430.61966	-354.43027	24.963865	-301.36426	-433.6233	0.55627525	1.1751267	4.8078494	-9.123405	354.8613	1261.1526	267.3165729045868
8	-592.97394	110.13938	-414.73148	-877.251	-595.5453	95.95551	-519.724	-747.411	200.0	200.0	31999	-363.30832	30.485542	-307.0466	-453.54517	-363.31348	30.38384	-307.4808	-456.52585	0.67381805	1.1807351	4.653675	-9.8687	363.53857	1252.3165	303.9014992713928
9	-550.7628	76.02363	-411.02872	-743.3916	-532.4248	71.44572	-392.60556	-637.60223	200.0	200.0	35999	-362.21075	33.604015	-304.60028	-456.2393	-362.2186	33.540173	-304.22922	-460.3531	0.7647048	1.1665007	4.6886168	-9.438079	362.32986	1289.6322	340.9312222003937
10	-563.52814	75.86664	-405.78363	-735.49426	-553.2816	80.057076	-511.43124	-767.8629	200.0	200.0	39999	-355.01263	35.868473	-292.92416	-453.09888	-355.0218	35.776596	-292.9384	-458.59695	0.87505853	1.1862446	4.948733	-11.3913555	355.07712	1244.5103	377.8168797492981
