Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1180.6082	252.54529	-882.4595	-1670.5164	-1441.1877	54.362835	-1356.9376	-1527.2434	200.0	200.0	3999	-32.327152	23.62803	1.9936223	-84.17336	-32.275078	23.641813	2.0557032	-84.12278	-0.26354477	0.91725904	3.551631	-7.446265	32.061726	26.328812	31.622191905975342
2	-1160.4216	278.34518	-772.7112	-1812.3176	-1585.6147	34.19372	-1538.9949	-1638.7031	200.0	200.0	7999	-87.62526	33.82068	-3.3815773	-152.55597	-87.62291	33.808445	-3.5705986	-152.50063	1.1965472	1.5255146	4.5647674	-13.640378	85.7269	82.995155	72.3471167087555
3	-1374.5442	256.56335	-856.7131	-1692.5436	-1319.9132	109.072464	-1181.5153	-1506.4929	200.0	200.0	11999	-121.0381	38.66283	-12.579014	-199.72717	-121.04371	38.646095	-13.314976	-199.65611	1.3510143	1.5322374	5.09663	-9.8099985	118.7785	159.58481	108.8688223361969
4	-790.3003	360.38132	-258.9284	-1356.3496	-1126.3699	257.3931	-378.31348	-1271.2797	200.0	200.0	15999	-148.90211	39.165974	-50.90958	-249.65971	-148.90979	39.140015	-51.596207	-249.62259	0.9546246	1.5885977	6.967144	-9.921576	147.69272	228.91841	147.96289348602295
5	-573.20984	138.2933	-257.59116	-784.5971	-368.59613	102.40623	-135.97449	-521.5625	200.0	200.0	19999	-174.86565	44.579678	-99.405685	-291.56427	-174.8774	44.54221	-100.05051	-291.57343	1.0396527	1.6560755	6.8032475	-9.88974	173.90482	326.50903	188.44003558158875
6	-882.4216	263.19638	-374.24435	-1205.4924	-907.98694	141.04582	-639.022	-1078.9493	200.0	200.0	23999	-188.64676	50.068607	-101.616425	-318.82306	-188.63773	50.072098	-102.49575	-319.2133	1.2302703	1.7138962	7.340001	-11.11202	187.6888	395.89624	229.26157474517822
7	-535.3066	220.10597	-130.22592	-1026.1987	-257.4378	125.24212	-131.44461	-493.44666	200.0	200.0	27999	-201.45126	49.744514	-115.07807	-340.96075	-201.45146	49.74801	-114.77513	-341.05417	1.2318666	1.6623578	6.5944	-11.219544	200.75012	434.8146	270.2389168739319
8	-432.3598	139.86333	-250.47137	-789.83575	-455.16656	122.09617	-253.42816	-647.02356	200.0	200.0	31999	-205.69676	54.39194	-112.93501	-358.38272	-205.69737	54.377254	-112.64602	-357.243	1.3610343	1.7885243	7.597357	-12.1645565	204.90688	448.6077	310.2730600833893
9	-274.81915	99.63237	-119.01129	-500.3407	-206.6801	106.739334	-3.5036514	-362.47824	200.0	200.0	35999	-201.8009	60.010952	-103.59757	-361.8584	-201.80145	60.028416	-103.36455	-361.3264	1.5681672	1.9280185	7.982891	-10.479575	200.92194	436.9946	349.67666387557983
10	-183.58586	125.203064	-0.7819796	-457.53867	-172.97394	115.38934	-0.78404707	-390.05063	200.0	200.0	39999	-190.06927	67.130875	-86.559715	-362.04807	-190.06618	67.13819	-86.38852	-361.88815	1.725035	1.9839977	8.494173	-9.543651	188.84718	383.04776	390.8617684841156
