Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1264.0963	288.1458	-820.90424	-1825.823	-521.4343	54.29892	-392.34323	-613.458	200.0	200.0	3999	-40.39507	27.759623	0.0057851374	-118.22659	-40.38813	27.77409	0.112976	-113.244736	0.4701415	1.2658386	4.9965715	-8.124424	39.812973	15.715438	37.24798345565796
2	-1311.6716	302.25992	-766.6982	-1790.3811	-375.69208	407.00897	-113.19058	-1183.1458	200.0	200.0	7999	-109.88153	39.21157	-8.257111	-210.75217	-109.8852	39.195103	-8.415452	-210.35228	1.1955676	1.4884459	6.3168645	-10.035645	108.08749	115.04266	84.04229235649109
3	-753.3395	538.1213	-2.4425592	-1563.7135	-154.09058	50.42574	-117.17172	-231.90948	200.0	200.0	11999	-141.68294	58.27432	-6.4881005	-272.64072	-141.68288	58.288345	-4.8754373	-270.86908	1.464811	1.5390422	7.8870387	-9.050449	138.71602	207.45258	131.95274806022644
4	-150.20735	88.98387	-0.6657841	-316.99203	-164.07126	89.14813	-0.5096795	-332.99118	200.0	200.0	15999	-122.68912	82.33862	-5.9135923	-292.47614	-122.68955	82.35228	-6.8157253	-290.94424	1.3036842	1.6297388	8.677776	-9.038664	119.8784	194.88097	179.4447205066681
5	-144.11893	70.26173	-2.3508778	-352.0114	-169.55052	110.05396	-0.39982596	-359.4692	200.0	200.0	19999	-100.2266	87.80556	-5.5026107	-298.80048	-100.22501	87.81645	-6.5524826	-299.34055	0.9904655	1.596582	7.4734697	-9.812819	98.024345	156.24095	226.368310213089
6	-151.00078	83.57532	-0.9284722	-263.03094	-164.42998	72.34971	-117.11738	-340.0678	200.0	200.0	23999	-84.42669	88.28128	-2.706034	-301.4443	-84.43009	88.28564	-2.975905	-301.2857	0.7759465	1.5738858	7.286963	-10.20478	82.57635	129.54788	277.56587386131287
7	-159.8812	66.62829	-2.4869814	-246.35286	-206.56966	88.02189	-121.36819	-337.4202	200.0	200.0	27999	-71.81419	85.85984	-0.08949423	-300.25308	-71.81609	85.86929	0.059985816	-300.02783	0.6202123	1.5446119	8.996107	-10.215771	70.24014	112.07641	322.95846486091614
8	-126.893234	69.185	-1.2872763	-243.43375	-191.05681	56.290207	-121.25766	-247.01149	200.0	200.0	31999	-62.74578	82.93839	5.1509047	-297.93225	-62.747074	82.94471	2.4913657	-297.1773	0.5385777	1.5046318	7.9865904	-8.579531	61.399906	86.742516	367.6475284099579
9	-138.54842	66.12881	-1.1303366	-347.66302	-108.042076	61.259426	-0.7521202	-224.09903	200.0	200.0	35999	-55.58412	79.71974	5.801297	-296.2776	-55.58419	79.72662	4.588731	-295.70047	0.47597703	1.4549251	7.8451896	-11.448188	54.411476	83.526596	411.3315198421478
10	-177.01807	89.34598	-1.0684066	-319.84128	-112.53335	88.35246	-0.44831863	-264.0278	200.0	200.0	39999	-50.34274	76.82788	6.2746487	-295.3254	-50.343334	76.83331	5.8238764	-294.87997	0.39670265	1.4485087	8.616084	-11.431025	49.303112	68.01834	455.7292203903198
