Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1260.0077	275.24744	-780.86884	-1810.3623	-1487.1859	72.36916	-1344.0603	-1581.1416	200.0	200.0	3999	-43.74422	29.46779	3.9876602	-111.58867	-43.758865	29.474833	9.141567	-111.52762	0.20068821	1.2365652	4.9944315	-8.353761	43.178974	26.109344	38.17112588882446
2	-1220.3787	277.55927	-792.8307	-1812.9532	-383.35217	306.28467	-2.191185	-838.89667	200.0	200.0	7999	-98.17214	37.028206	13.286991	-192.88257	-98.16765	37.037243	12.8821125	-193.08	1.2168553	1.5776007	6.4207277	-10.158135	95.779976	95.78526	88.48994994163513
3	-773.18024	634.46594	-120.094124	-1729.2891	-178.03105	56.40493	-118.588	-247.2679	200.0	200.0	11999	-122.70365	64.90356	41.43395	-250.07817	-122.70107	64.9183	43.14939	-249.76418	1.3799438	1.6738533	7.1034408	-9.692476	118.95834	160.41702	139.47239708900452
4	-170.74161	119.01717	-0.44534096	-387.06427	-165.05972	55.541454	-116.18815	-237.6076	200.0	200.0	15999	-89.9167	89.570786	41.6625	-269.9035	-89.91019	89.57338	44.596615	-270.0905	1.2629844	1.6841146	7.4813385	-9.616065	86.435356	130.42694	191.7518594264984
5	-156.11311	105.310715	-3.3289356	-366.71902	-134.85477	82.64109	-3.1974902	-251.78906	200.0	200.0	19999	-66.3719	84.56867	27.147573	-270.82016	-66.374756	84.5739	27.398586	-271.1875	0.82307076	1.7160016	7.364573	-8.934877	63.788788	93.13791	247.12546753883362
6	-144.90991	94.10563	-4.395384	-353.71832	-111.8984	35.746384	-4.864241	-126.864845	200.0	200.0	23999	-56.01165	79.11054	25.689457	-270.60092	-56.015854	79.1179	23.016966	-270.05807	0.6009684	1.6615877	7.233141	-9.839846	54.029526	68.81253	302.7780747413635
7	-151.20958	60.898396	-4.408947	-241.36105	-146.20001	89.32718	-1.9042194	-362.51166	200.0	200.0	27999	-50.19352	76.17843	19.27449	-272.06537	-50.20061	76.18792	15.0076475	-270.83585	0.47816238	1.5591978	7.4340153	-9.25607	48.59895	59.23256	356.9597566127777
8	-155.88121	81.35212	-1.0580183	-336.55722	-155.42253	74.60432	-3.478097	-244.41335	200.0	200.0	31999	-46.876045	75.6018	8.10013	-279.14737	-46.875885	75.59658	8.086271	-278.34967	0.38594964	1.498704	7.5519023	-8.413287	45.508705	52.284157	416.55744099617004
9	-133.38353	84.03996	-1.5517689	-254.58627	-194.88664	109.15828	-3.3099437	-349.61978	200.0	200.0	35999	-42.81098	73.64653	9.611579	-280.80518	-42.812786	73.6502	10.791564	-279.84503	0.33059505	1.4650997	8.537545	-11.968402	41.569202	56.787437	472.41855573654175
10	-126.59666	94.74513	-0.85014147	-362.0048	-119.80923	92.470024	-0.8400965	-251.58139	200.0	200.0	39999	-39.421204	71.621925	6.6816845	-282.44568	-39.422848	71.62647	6.5670786	-281.2167	0.2732136	1.4154786	7.875487	-10.640234	38.344967	53.599396	528.6885032653809
