Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1222.2716	287.81366	-851.52	-1702.149	-1307.5881	116.72369	-1110.7323	-1461.513	200.0	200.0	3999	-22.198883	16.304125	1.5400933	-83.22858	-22.21486	16.269978	1.7674255	-83.76746	21.711838	9.2275	16.68898916244507
2	-1287.2216	360.31308	-711.3654	-1791.6111	-1366.8854	228.37878	-1017.1452	-1635.446	200.0	200.0	7999	-63.62577	29.857267	7.961368	-123.24435	-63.610424	29.852715	9.135678	-129.93074	62.08839	39.779297	36.96501803398132
3	-1031.1277	568.93835	-1.0153351	-1793.4548	-283.78302	376.03656	-0.35027882	-1365.1797	200.0	200.0	11999	-96.41128	32.23088	-1.772306	-158.83038	-96.37248	32.237785	-6.38731	-159.03497	93.92405	107.71127	59.602665424346924
4	-828.5824	631.2911	-0.3439914	-1646.022	-611.0187	443.53793	-118.61823	-1067.8461	200.0	200.0	15999	-119.94658	31.726719	-41.912495	-190.83873	-119.9527	31.53365	-39.56337	-190.28592	118.100624	152.0662	80.2408356666565
5	-190.91199	148.78835	-0.543355	-648.4001	-158.99173	115.45463	-2.1367688	-381.1867	200.0	200.0	19999	-141.2717	39.715107	-77.59975	-226.21979	-141.27164	39.591404	-73.63168	-227.5424	139.94048	209.80678	99.40111494064331
6	-173.3019	113.149055	-0.7759742	-533.1684	-157.52487	88.48761	-1.2057786	-333.63657	200.0	200.0	23999	-152.30518	53.5298	-87.18708	-266.57788	-152.27908	53.46563	-86.948746	-266.87146	151.19766	258.6623	118.47757649421692
7	-174.15787	130.66194	-0.66533554	-615.20746	-221.78877	104.59297	-5.043613	-365.33112	200.0	200.0	27999	-159.4604	65.281334	-88.2378	-291.47604	-159.43855	65.26757	-87.78639	-290.24664	158.45572	292.2926	137.98569750785828
8	-187.4715	99.65089	-0.5396708	-367.78665	-172.17453	95.80585	-0.8636152	-362.78214	200.0	200.0	31999	-164.78683	75.300476	-90.016174	-313.265	-164.76181	75.275215	-89.53684	-315.4461	163.47087	324.50272	159.40230083465576
9	-200.61142	173.26247	-0.7146463	-764.61035	-293.70834	233.96823	-0.62745917	-726.2063	200.0	200.0	35999	-166.13068	83.30342	-89.64833	-342.97955	-166.11339	83.20299	-89.1988	-344.81143	165.05531	333.49066	180.78347945213318
10	-266.44653	270.62634	-0.4069182	-982.3498	-139.98512	252.9671	-0.6223584	-876.55347	200.0	200.0	39999	-166.5583	88.6522	-88.341385	-363.06265	-166.54729	88.49488	-87.802765	-368.52725	165.40097	345.75272	201.8040804862976
