Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1285.8689	238.31175	-832.5008	-1789.0299	-1449.3049	85.85109	-1323.8729	-1569.1168	200.0	200.0	3999	-23.486094	15.365583	2.4587495	-58.84981	-23.611109	15.215626	1.0493462	-58.83482	23.368359	14.170784	14.772709369659424
2	-1211.1823	286.2025	-750.2805	-1678.7598	-1582.6178	42.728306	-1506.1353	-1649.9653	200.0	200.0	7999	-64.59114	25.474932	2.9198747	-112.096085	-64.59435	25.47042	2.3749382	-111.99514	62.89797	40.580223	34.9502387046814
3	-1346.145	291.9251	-853.35016	-1653.4308	-1615.5986	26.320364	-1578.7771	-1657.108	200.0	200.0	11999	-86.51749	33.25356	5.632784	-145.9994	-86.516	33.248463	4.782664	-145.97017	83.99529	80.79458	55.520506143569946
4	-1485.2537	320.37073	-116.93647	-1635.2964	-936.9313	529.4902	-121.0754	-1653.0195	200.0	200.0	15999	-107.63541	32.637554	-12.149457	-183.41183	-107.62873	32.655895	-11.901765	-183.59976	106.294075	114.82412	76.18658685684204
5	-496.08673	583.3554	-0.66601753	-1647.9385	-146.4076	105.063385	-1.2956889	-365.54987	200.0	200.0	19999	-135.05247	28.436497	-77.45987	-215.03978	-135.06824	28.34337	-77.09337	-215.1372	133.17563	174.00366	96.8028256893158
6	-252.18633	101.11606	-119.19782	-384.03955	-244.63022	139.94627	-18.812696	-546.7488	200.0	200.0	23999	-148.19928	38.89534	-83.84366	-241.73729	-148.19704	38.92893	-81.68176	-240.86174	146.19182	205.27568	117.40205407142639
7	-197.25542	93.2158	-117.05602	-408.26596	-174.39673	77.5507	-14.494478	-262.19098	200.0	200.0	27999	-150.62141	51.967903	-75.49775	-268.77298	-150.62569	51.998165	-76.239105	-267.05807	148.46924	221.41678	137.86125349998474
8	-168.23235	79.04798	-3.36042	-286.76385	-138.04288	64.65436	-4.224356	-245.49121	200.0	200.0	31999	-145.84044	63.0726	-64.947205	-288.42365	-145.83876	63.075413	-64.915726	-287.4657	143.47145	211.6957	159.41394019126892
9	-152.40921	82.50165	-2.65966	-253.48642	-142.45041	69.37187	-1.2499686	-241.97084	200.0	200.0	35999	-136.39574	71.37474	-54.030132	-302.7867	-136.43214	71.34987	-53.9738	-301.734	134.08612	207.43259	181.03396224975586
10	-137.61877	56.23395	-1.1256541	-245.6476	-179.04091	58.9792	-114.913994	-241.15161	200.0	200.0	39999	-124.46423	76.6615	-44.454475	-311.7396	-124.49209	76.59945	-44.385708	-311.2259	122.09703	183.44672	201.61279773712158
