Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1191.9124	275.46805	-761.0381	-1736.0626	-1168.4586	146.78937	-972.642	-1506.0774	200.0	200.0	3999	-21.778086	16.481998	0.62372345	-82.397484	-21.77964	16.47575	0.50104916	-81.69234	21.08109	6.0373244	22.211708068847656
2	-1168.034	237.46819	-863.9988	-1623.8125	-201.55408	126.36773	-0.36881292	-375.39542	200.0	200.0	7999	-58.77018	28.16728	-0.65319884	-120.73126	-58.77254	28.166067	-0.61188185	-122.19809	57.004353	34.6958	49.75250720977783
3	-709.66174	572.7988	-1.7406555	-1699.5406	-143.74869	85.41948	-1.3211788	-344.394	200.0	200.0	11999	-84.91414	37.68541	6.7100434	-163.79556	-84.91415	37.67053	8.078592	-163.59729	82.10275	73.54231	77.71385312080383
4	-158.92044	101.26721	-0.5087463	-377.09586	-146.63098	105.85072	-0.4130742	-363.8011	200.0	200.0	15999	-80.60871	59.86635	9.865863	-207.49216	-80.61176	59.850544	8.102666	-206.27695	77.80412	86.32364	104.16129875183105
5	-189.54144	117.20614	-115.34656	-635.7124	-163.21965	114.90602	-1.8329756	-328.03394	200.0	200.0	19999	-71.2608	69.98498	10.388367	-236.19432	-71.26172	69.98325	10.013475	-234.81653	68.325294	86.100395	133.8476676940918
6	-174.60117	79.41077	-1.7220105	-344.31647	-165.68106	89.121666	-2.6980734	-327.44284	200.0	200.0	23999	-62.34416	72.94694	11.452695	-253.6554	-62.344616	72.9519	11.093452	-253.42473	59.812298	72.41192	163.95975065231323
7	-136.5332	103.66986	-1.8349276	-355.64203	-131.18747	81.183815	-2.3207343	-239.67342	200.0	200.0	27999	-54.078014	72.148506	9.301015	-262.6012	-54.08137	72.14844	9.94351	-263.04605	51.711746	64.02115	192.10941553115845
8	-145.76065	96.48429	-1.6059226	-355.6638	-159.13531	55.56406	-119.64228	-245.15276	200.0	200.0	31999	-48.916595	70.04526	10.023197	-267.24152	-48.919426	70.044075	9.940413	-267.57306	47.118496	60.005703	221.77170538902283
9	-168.14008	102.99502	-6.564225	-363.4338	-132.51009	108.32213	-4.2834697	-352.88245	200.0	200.0	35999	-44.67413	67.74856	11.829022	-267.47662	-44.67546	67.75058	9.070805	-268.3277	43.04997	51.35382	251.30390763282776
10	-150.58395	80.08331	-1.4360185	-344.94788	-136.65854	89.76462	-0.98502773	-275.1201	200.0	200.0	39999	-42.754185	64.81475	7.1858077	-266.40143	-42.75384	64.81692	8.531255	-266.20663	41.342533	45.716785	279.09211897850037
