Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1218.9598	313.18784	-861.4372	-1752.8065	-927.19934	608.9679	-6.6676764	-1501.8081	200.0	200.0	3999	-25.074322	18.414928	1.5000073	-72.38736	-25.054953	18.4284	1.7214556	-72.18883	24.651474	8.565254	21.887505054473877
2	-1031.9807	205.81145	-736.2662	-1448.664	-178.19275	219.67358	-0.26878482	-781.57007	200.0	200.0	7999	-62.446896	31.497202	7.823379	-121.194725	-62.44832	31.491653	9.223902	-121.49487	60.61379	36.220734	48.76540017127991
3	-901.59485	528.46094	-113.63149	-1780.5607	-137.41801	95.46631	-0.748924	-327.97452	200.0	200.0	11999	-83.27785	41.351543	20.159174	-161.5716	-83.27727	41.353962	20.30151	-161.87827	80.187386	74.31934	81.3838369846344
4	-169.73093	87.81492	-1.4613826	-329.05936	-146.56657	76.47481	-0.6029715	-280.44598	200.0	200.0	15999	-75.61144	63.434334	27.411898	-200.02481	-75.617256	63.436718	27.818567	-199.92671	72.39528	88.58674	112.3125958442688
5	-131.00801	71.50566	-1.1058774	-346.0349	-159.92825	95.82318	-1.6647664	-346.1528	200.0	200.0	19999	-60.00553	73.65202	27.70789	-227.89983	-60.00808	73.64085	28.679613	-228.0256	56.603477	80.74548	143.22054171562195
6	-120.212746	80.73455	-1.4911599	-348.9405	-154.75098	71.86805	-4.9939914	-237.29507	200.0	200.0	23999	-46.50044	71.13492	26.466822	-241.7761	-46.49607	71.1424	26.927841	-241.60472	43.44903	65.48369	174.84023761749268
7	-173.01608	90.59565	-5.49374	-346.99265	-121.509155	88.84849	-6.095865	-248.74637	200.0	200.0	27999	-37.37052	67.58804	19.385859	-249.3765	-37.378963	67.58479	17.320528	-248.54967	34.690437	48.908825	207.381098985672
8	-159.26086	95.55131	-5.927909	-388.1047	-130.70549	81.2203	-3.7330108	-241.02403	200.0	200.0	31999	-33.231544	64.60744	16.850214	-251.18607	-33.22594	64.59702	19.245678	-251.23541	31.036055	44.66229	238.04272627830505
9	-193.05196	75.16384	-117.3904	-352.48737	-143.64815	47.75252	-115.84498	-239.3658	200.0	200.0	35999	-30.671877	62.375656	14.923378	-254.50064	-30.668953	62.376133	15.681314	-254.92972	29.10565	38.953053	268.5471053123474
10	-116.0016	68.92592	-1.6833795	-240.72922	-122.00974	3.5244794	-116.78719	-126.42038	200.0	200.0	39999	-29.278067	60.75148	14.870354	-258.6113	-29.286247	60.755253	15.097351	-257.84616	27.804443	34.379234	298.99660205841064
