Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-158.50546	95.06219	21.270819	-426.7688	85.73913	-0.1945797	0.065324746	0.1081544	-0.40133953	4000	3.7550926e-08	10607.561	-0.008667072	-191.32227	1.3744591	0.008269961	0.05675	79.0	4.534061908721924
1	-190.57938	97.79581	-70.88751	-467.04767	93.97619	-1.25216	0.22466701	-0.872936	-2.6408544	8000	8.3446505e-10	12849.857	-0.010366859	-525.1113	1.3585982	0.0059372582	0.0785	79.0	9.031713008880615
2	-134.4784	53.388935	-63.655807	-329.8947	88.40909	-3.6401446	0.5462041	-0.789207	-8.682676	12000	-1.7166137e-08	6552.579	-0.008911487	-465.9712	1.3727657	0.0071158386	0.02875	79.0	13.507911443710327
3	-143.23824	97.0595	115.444786	-385.35703	119.666664	-7.04237	1.25998	-2.3105905	-11.944324	16000	-4.0769578e-08	6446.379	-0.008734675	-555.89795	1.374999	0.007528612	0.0345	79.0	19.918636560440063
4	-133.76591	63.998737	-9.020891	-301.10617	98.375	-11.523672	1.3795136	-5.62854	-21.579	20000	7.0780516e-08	5356.219	-0.0079281945	-856.03467	1.3673137	0.005326534	0.06675	79.0	24.62580943107605
5	-151.92136	94.80181	31.940847	-357.4849	100.51282	-18.836823	1.9603081	-8.364612	-30.397413	24000	-6.2525274e-08	6810.393	-0.009215294	-1097.791	1.3515041	0.011496417	0.08275	79.0	29.208508491516113
6	-147.20282	86.87713	-17.395277	-318.64853	109.833336	-27.49064	2.932056	-11.798439	-44.884922	28000	-4.053116e-09	4501.994	-0.010676885	-818.08374	1.3412946	0.010761335	0.1	79.0	33.77437877655029
7	-144.72057	78.709305	-34.198185	-379.2649	117.411766	-35.358383	3.5559208	-14.449694	-56.539898	32000	2.7656554e-08	3489.4214	-0.007668278	-591.25195	1.3196635	0.0065944074	0.03025	79.0	38.44993281364441
8	-163.46527	121.55926	40.570427	-385.31903	131.93333	-43.08224	5.252685	-15.935771	-70.36953	36000	1.4662743e-08	4967.6953	-0.01305366	-769.9004	1.2827356	0.0135091785	0.096	79.0	43.24335479736328
9	-174.11493	121.28897	6.1907787	-434.0952	144.46153	-51.147827	7.6618233	-16.424665	-82.60112	40000	2.7418137e-08	4811.6064	-0.009681056	-556.2622	1.2375779	0.011472248	0.0825	79.0	48.22479557991028
