Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-254.59798	129.19482	-17.255434	-501.78857	101.82051	0.04284518	0.061723914	0.4231673	-0.071329355	4000	-3.71933e-08	22068.229	-0.00955333	-381.77734	1.3714099	0.011851594	0.1065	79.0	4.797924995422363
1	-217.22493	132.47366	-58.331356	-524.1992	94.92857	-1.4696453	0.23651949	-0.062049143	-2.0327792	8000	-7.259846e-08	19052.748	-0.0076260385	-643.5156	1.3443552	0.007715763	0.06	79.0	9.488327026367188
2	-167.61928	113.50324	6.610988	-464.34308	98.65	-3.8984082	0.9694021	2.991623	-6.1579137	12000	-5.0723553e-08	10906.82	-0.0055680834	-465.89258	1.3323624	0.0043648346	0.03825	79.0	14.182520866394043
3	-198.71642	107.14967	-61.380547	-431.7041	102.051285	-6.5075665	1.386547	5.3721952	-9.62594	16000	-3.5405158e-08	12355.654	-0.009509341	-675.51855	1.3299721	0.009617101	0.068	79.0	18.898033142089844
4	-156.1446	126.86415	-7.168045	-656.0931	96.12195	-9.863765	1.642967	8.266944	-12.2802725	20000	1.1563301e-08	11028.066	-0.00648252	-604.14844	1.3261306	0.0046179453	0.06025	79.0	23.654597759246826
5	-140.19476	89.7526	-48.8279	-493.3975	109.80556	-13.47625	0.97129613	-3.491075	-15.561131	24000	-3.9696694e-08	5894.608	-0.0083422735	-334.20996	1.3430377	0.0073781903	0.054	79.0	28.244451999664307
6	-104.10137	79.824005	-1.310824	-401.89874	116.85294	-15.997817	1.1230997	-8.3092985	-18.098972	28000	3.260374e-08	3467.5283	-0.0060471282	-129.67603	1.3055922	0.005774377	0.034	79.0	33.045860290527344
7	-130.72083	65.68196	-27.770042	-298.401	125.935486	-17.797367	1.0525469	-7.3770003	-19.833326	32000	3.7491322e-08	3324.221	-0.009680725	-203.36206	1.270174	0.009353701	0.0275	79.0	37.83460998535156
8	-140.61554	70.474655	-32.8861	-346.79056	127.129036	-19.94298	0.97061694	-10.777617	-21.952826	36000	-4.7445297e-08	3791.717	-0.00839569	-242.40015	1.2491384	0.008961542	0.049	79.0	42.63631057739258
9	-127.61984	107.72785	30.185577	-458.9794	132.10345	-22.250706	1.3717079	-12.080394	-24.351208	40000	-7.7486035e-09	5041.801	-0.0069803037	-151.09473	1.2284695	0.0068228804	0.04175	79.0	47.46044898033142
