Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-203.36713	97.241165	-25.280031	-442.44577	87.62222	0.12710075	0.013575197	0.27427012	0.05954074	4000	9.298325e-09	15106.235	-0.013003341	-1996.2871	1.3825713	0.009287153	0.09475	79.0	5.883836507797241
1	-179.8398	93.90738	-39.09347	-465.7698	99.2	-9.081675	1.7442615	-7.0026956	-26.464308	8000	1.4066696e-08	10139.446	-0.017300904	-7020.36	1.3799224	0.015045541	0.14375	76.0	14.080418109893799
2	-158.1214	87.4382	-23.765099	-390.60916	102.333336	-73.133316	12.173378	-35.663937	-208.01546	12000	9.894371e-09	2216.1272	-0.02013512	-231.86682	1.3641807	0.012503199	0.13625	79.0	22.8894259929657
3	-104.06597	41.10455	-17.5883	-201.11406	103.36842	-82.44444	7.9556513	-44.447926	-121.21654	16000	-2.7894973e-08	1639.5686	-0.013519934	-799.9613	1.3574917	0.015158699	0.10825	29.0	28.083067893981934
4	-98.2394	65.74876	65.00402	-281.9162	99.975	-54.001072	6.1661024	-32.666786	-101.53897	20000	-9.536744e-10	2028.3877	-0.01686339	-144.52026	1.3288349	0.011115906	0.15325	79.0	34.27527570724487
5	-80.80271	47.68717	-2.6899066	-198.61789	117.69697	-54.54326	6.7496943	-39.74144	-156.93002	24000	-1.2874604e-08	1060.7998	-0.013476516	-215.74506	1.3040657	0.009988039	0.08775	79.0	40.582491397857666
6	-88.04834	59.740314	-13.560963	-245.87793	188.9	-45.18014	15.381412	-28.674917	-137.19499	28000	0.0	1628.8741	-0.01973434	-576.624	1.2974668	0.006956884	0.1175	79.0	48.72725987434387
7	-70.93139	66.53089	54.250237	-229.28363	155.44	-31.729366	9.750678	-16.705933	-82.49442	32000	6.9141386e-09	1711.2788	-0.008737348	-243.89978	1.2298346	0.016289826	0.26325	14.0	54.45587706565857
8	-107.17481	95.53625	42.971474	-253.86996	237.1875	-36.323814	15.080333	-17.27056	-168.64308	36000	-1.0251999e-08	1688.6344	-0.017880542	-155.23962	1.1966648	0.010531535	0.14	79.0	62.09516191482544
9	-156.9761	107.33332	19.684328	-323.59094	349.18182	-38.69538	21.759062	-13.417851	-265.9135	40000	4.0233137e-09	2092.2192	-0.018567566	-338.62146	1.1671863	0.01483976	0.14525	79.0	72.55647921562195
