Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-193.71115	117.88871	33.75658	-507.58557	93.97619	-0.17406528	0.07878491	-0.01884165	-0.43529958	4000	-9.417534e-09	15017.886	-0.015337742	-1795.1016	1.3789152	0.008629629	0.1445	79.0	6.0579774379730225
1	-153.77634	86.80229	-57.86287	-435.79016	88.42857	-9.25974	0.43346816	-5.2463374	-9.611981	8000	-7.796287e-08	8228.323	-0.009555069	-775.1577	1.3663844	0.009114109	0.08625	79.0	12.40251874923706
2	-144.04926	80.14042	10.604727	-352.82312	91.72093	-14.9833145	0.15443343	-11.21077	-15.079036	12000	5.8889388e-08	6533.185	-0.009969835	-621.3799	1.370853	0.0107370475	0.06175	79.0	18.622379064559937
3	-125.57382	77.01944	6.6729765	-455.58243	94.02381	-19.946257	0.31325343	-15.225507	-20.033195	16000	3.2901763e-08	4658.993	-0.012143906	-411.6504	1.3650126	0.015197995	0.1975	30.0	24.18261456489563
4	-135.7799	96.53052	2.6592224	-520.2877	97.4	-24.105743	0.45262107	-14.600613	-24.18493	20000	-1.2993812e-08	5328.858	-0.013706692	-421.16504	1.3423338	0.012496593	0.1475	79.0	30.304605960845947
5	-140.20134	110.15709	-8.502539	-369.87558	116.55882	-28.14725	1.7850626	-2.1478808	-28.393824	24000	-2.682209e-10	5404.421	-0.012772137	-387.56494	1.3218367	0.010065916	0.14275	79.0	36.68895387649536
6	-99.31764	72.71947	37.61899	-276.39133	110.6	-32.297947	0.058824454	-31.201523	-32.31691	28000	1.26361845e-08	2234.687	-0.014921527	-106.28174	1.314821	0.009905455	0.11325	79.0	42.98565053939819
7	-95.9254	65.202896	-13.044154	-310.36868	110.88571	-34.680634	0.026253114	-34.23224	-34.69597	32000	-3.5762786e-09	2189.6606	-0.015623721	-48.518066	1.2862443	0.013556331	0.1405	79.0	49.26491332054138
8	-55.88959	45.335144	27.509516	-163.89735	120.72727	-36.32384	0.03006327	-35.60926	-36.34003	36000	6.556511e-09	1168.9253	-0.014262401	-4.0236816	1.2397135	0.010879798	0.0805	79.0	55.783968448638916
9	-79.46196	95.13835	32.036465	-311.51926	139.89285	-35.9437	0.018398017	-35.677944	-35.95927	40000	7.212162e-09	2545.748	-0.006860622	-6.8771973	1.2068124	0.015114771	0.219	15.0	61.60376977920532
