Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-216.08044	112.5528	-33.63265	-514.02075	102.97369	-0.1623833	0.15814067	0.905072	-0.55173784	4000	-3.98159e-08	15853.952	-0.008275578	-390.11426	0.0031412593	0.0	4.952294111251831
1	-210.99664	112.40263	-3.025828	-488.14908	101.30769	-1.6766988	0.6771474	-0.56417876	-5.01796	8000	-1.1324882e-08	14487.335	-0.014530677	-509.29785	0.0043988894	0.0	9.034061193466187
2	-142.86346	107.313156	-23.67111	-453.36032	114.882355	-3.9833155	0.9928732	-1.2238008	-13.081284	12000	-4.0769578e-08	7992.57	-0.013128868	-468.28467	0.0033033823	0.0	13.326114177703857
3	-137.04008	89.30587	60.76009	-303.63608	151.8077	-6.6722302	1.6562897	-1.9030516	-14.956155	16000	-1.2874604e-08	4787.503	-0.011816965	-268.05713	0.004041753	0.0	19.36703872680664
4	-145.30269	96.08659	-15.468563	-369.18488	118.93939	-9.757327	1.3724179	-3.1628623	-17.634087	20000	3.1650067e-08	6952.6704	-0.012069114	-678.2866	0.0042054416	0.0	23.82534670829773
5	-129.27524	97.00707	0.36788267	-344.118	129.2	-15.026151	1.600625	-7.158389	-26.514858	24000	-6.556511e-09	5215.8623	-0.015949814	-663.8633	0.006119888	0.0	28.272711515426636
6	-106.149994	66.57653	25.571167	-293.31345	137.06897	-20.461231	3.0542314	-10.637588	-39.84811	28000	-2.5629998e-08	2690.176	-0.0092745	-296.6792	0.0037127074	0.0	32.84126353263855
7	-90.934135	51.08059	-19.758219	-215.28474	131.75862	-25.7655	3.241238	-9.588507	-46.40033	32000	7.1525574e-10	1522.1508	-0.009061212	-95.82898	0.0033203296	0.0	37.29720139503479
8	-77.06028	76.78482	42.061584	-245.97414	178.13637	-26.94201	6.446335	-9.373752	-54.2449	36000	5.6028364e-09	2562.5298	-0.009097955	-32.84497	0.0028973897	0.0	44.119223833084106
9	-50.91264	51.703495	44.215897	-172.93477	236.28572	-26.314621	8.812157	-6.4204817	-54.312454	40000	1.8179417e-08	1382.9202	-0.009818729	-57.258057	0.003875837	0.0	52.45699644088745
