Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-269.00336	143.0511	-5.294634	-534.717	90.40909	0.44896495	0.42974585	1.3938329	-1.104917	4000	-8.261204e-08	27785.727	-0.013544458	-628.71484	0.007653782	0.0	4.63787055015564
1	-235.12866	138.84332	-6.009198	-580.77295	99.5	-1.6100823	0.2651844	-0.32044396	-2.7112005	8000	-1.013279e-08	20362.576	-0.01380775	-623.05664	0.0070273187	0.0	8.563272953033447
2	-177.64569	96.36522	-58.098995	-459.62473	102.68421	-3.703302	0.6890292	-0.88992864	-6.968064	12000	-3.349781e-08	9600.098	-0.013228612	-472.49805	0.0072026146	0.0	12.564261198043823
3	-134.73235	60.70058	10.416899	-296.7774	98.925	-6.336997	0.98883516	2.8195534	-8.876729	16000	-3.838539e-08	6340.9014	-0.01347584	-367.83984	0.0051763696	0.0	16.498450756072998
4	-110.852066	43.060596	-17.3168	-215.0502	102.46154	-9.139917	0.787664	-1.9242117	-12.680629	20000	5.722046e-09	3222.82	-0.009659364	-263.32544	0.0061769644	0.0	20.551833391189575
5	-113.32825	50.301807	-35.840267	-247.95139	104.48649	-11.4737835	1.1667824	4.8663187	-15.258872	24000	-3.5345554e-08	3470.8945	-0.017056467	-277.89648	0.005861186	0.0	24.64504885673523
6	-117.57715	59.090973	-6.21964	-262.3492	104.73684	-14.433302	0.9978459	-10.3291855	-18.487799	28000	-1.0126829e-07	3777.021	-0.018392313	-330.74756	0.0066014943	0.0	28.749197721481323
7	-76.298775	47.381042	5.090737	-211.20325	109.5	-17.29354	1.9230806	6.060088	-21.44886	32000	1.1920929e-09	1749.1367	-0.009298578	-106.05969	0.004980978	0.0	32.96837258338928
8	-81.30168	30.292112	-20.116066	-163.80351	116.02941	-18.97824	1.2067518	-14.753621	-23.320826	36000	3.0994416e-09	1485.7108	-0.01056083	-94.30957	0.004504035	0.0	37.417236328125
9	-80.74294	44.24151	4.448015	-200.8411	120.121216	-20.845484	1.2336924	-15.959787	-24.997593	40000	1.2516975e-08	1458.708	-0.012672633	-84.073	0.006472524	0.0	41.99263262748718
