Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-252.71423	153.62039	-38.920338	-532.17706	98.35	-0.03104482	0.089905694	0.24664064	-0.3880804	4000	-7.137656e-08	23217.81	-0.013931763	-5480.2734	0.0050748345	0.0	5.811671257019043
1	-190.45499	123.30316	58.369057	-463.13647	97.825	-19.694036	6.109182	-6.0833106	-55.69645	8000	6.198883e-08	10268.797	-0.015456327	-6555.804	0.0060277106	0.0	10.89527440071106
2	-170.31299	98.837654	-41.11116	-448.05447	101.53846	-88.86238	20.644106	-53.186977	-243.22134	12000	6.0796737e-09	2204.6924	-0.020480761	-225.66516	0.005097208	0.0	15.991726398468018
3	-144.81578	64.3268	-17.807234	-289.40167	104.81579	-81.6017	11.661648	-23.242197	-134.2882	16000	1.0550022e-08	1598.1617	-0.014686463	-250.1582	0.0036662007	0.0	21.300317525863647
4	-112.91369	49.81119	6.7735486	-216.19785	103.42105	-71.578835	8.760094	-35.95595	-161.64246	20000	1.847744e-08	1108.5955	-0.017217	-181.758	0.0046006534	0.0	26.279189109802246
5	-127.46407	87.181984	-22.867094	-380.26227	108.0	-59.685047	7.7855935	-28.959965	-134.58101	24000	-1.7881393e-09	2778.9763	-0.016797807	-570.9116	0.0055295657	0.0	30.99133563041687
6	-103.095795	43.26117	-53.656315	-217.91364	117.02941	-65.35328	8.455794	-44.861343	-134.7183	28000	9.417534e-09	988.1169	-0.015797324	-287.11823	0.0058196676	0.0	35.644439697265625
7	-98.45629	58.392036	-11.264141	-278.76837	125.935486	-52.95806	11.86984	-30.3758	-199.1269	32000	-1.525879e-08	1122.9893	-0.016460437	-111.190735	0.005020171	0.0	40.45385551452637
8	-59.077545	38.83083	18.47407	-188.32063	120.878784	-46.976524	9.5419235	-27.229269	-118.59913	36000	-1.579523e-08	895.87274	-0.014665321	-235.26666	0.0070127174	0.0	45.413734674453735
9	-58.987404	50.289276	26.246243	-155.4811	137.89285	-33.63129	11.404484	-17.291117	-119.60652	40000	-1.1563301e-08	831.37463	-0.013478776	-128.44165	0.006044889	0.0	50.71914267539978
