Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-177.21114	122.1178	-49.65164	-474.43878	88.8	0.4313794	0.16487987	0.9224773	-0.19870561	4000	-3.6358834e-08	13791.624	-0.01372546	-2638.8457	0.0072463346	0.0	5.143954753875732
1	-115.506195	53.794136	84.60678	-221.10788	105.26316	-13.171771	2.6818469	-4.4297457	-15.145054	8000	3.361702e-08	3252.5012	-0.014514665	-411.50732	0.007842567	0.0	10.935043334960938
2	-142.22707	62.35143	-42.250797	-313.46426	90.74419	-19.850456	0.37189648	-14.394487	-20.222437	12000	1.859665e-08	4934.618	-0.013778031	-705.55273	0.0065012346	0.0	15.295092344284058
3	-103.229935	39.959972	-9.488148	-211.78477	87.933334	-26.100723	0.6554397	-11.59523	-26.30319	16000	-2.026558e-08	1761.5327	-0.014048689	-246.36707	0.0067314324	0.0	19.60635232925415
4	-99.52392	75.48571	56.191986	-423.23874	97.35	-29.69429	3.3748336	15.8393135	-30.149832	20000	-1.8298627e-08	2888.3674	-0.009288267	-255.73755	0.0053021386	0.0	24.017999172210693
5	-80.10614	37.03577	-17.82449	-200.40753	94.97619	-33.071217	0.27838388	-24.959574	-33.161823	24000	-6.556511e-09	1088.4948	-0.014461091	-61.137573	0.0066296025	0.0	28.521892309188843
6	-75.62809	33.2935	-17.272493	-172.01028	97.439026	-35.18336	0.067516536	-34.64879	-35.24276	28000	1.45435335e-08	844.8236	-0.012878017	-29.578857	0.004922787	0.0	33.068726539611816
7	-64.08941	34.54627	11.283942	-164.27718	102.53846	-36.676502	0.22812076	-32.5521	-36.758526	32000	3.695488e-09	895.4969	-0.01158053	-1.0549927	0.00780711	0.0	37.57539987564087
8	-50.981453	29.03382	4.772184	-122.766106	107.297295	-36.950397	0.081926405	-35.8188	-37.007095	36000	-2.3841857e-09	791.4813	-0.012796298	-9.212891	0.00722931	0.0	42.145519971847534
9	-28.005405	24.285875	27.79932	-65.68969	146.74074	-35.563984	1.432892	-26.578218	-36.156933	40000	2.9802322e-08	1327.8087	-0.012215687	-316.5271	0.0067608375	0.0	49.115198612213135
