Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-203.03262	113.17941	-4.112161	-420.94846	94.809525	0.043489944	0.06502231	0.27486026	-0.07963008	4000	0.005487025	15468.274	0.0	-266.7754	1.3749199	-1.192093e-10	4.6587584018707275
1	-189.83882	109.507996	-30.985634	-471.66675	83.59574	-1.1692561	0.22350925	-0.63815856	-3.5284357	8000	0.0072887945	14758.555	0.0	-614.95996	1.3752071	1.2516975e-09	9.032928466796875
2	-227.71307	137.12498	40.845444	-568.8041	96.731705	-3.9349267	1.191071	-1.015076	-12.938113	12000	0.0020068996	18201.527	0.0	-1223.1348	1.3750445	1.7881394e-10	13.882700681686401
3	-214.71391	115.99507	-38.81229	-516.1618	99.0	-8.924391	2.6217132	-3.142389	-30.58119	16000	-0.0023804866	14211.163	0.0	-1487.9717	1.3759476	-4.1723253e-10	18.336621522903442
4	-209.34082	123.06551	-3.0106077	-461.9434	96.17073	-17.034067	3.6524048	-3.8204203	-46.364033	20000	0.006526323	13130.292	0.0	-1885.8145	1.3754663	1.1324882e-09	22.662170886993408
5	-154.2726	88.01506	-35.636158	-417.00287	89.181816	-26.457394	5.2506523	-13.525439	-77.6826	24000	0.0013020743	5503.1973	0.0	-956.66504	1.3759696	-6.2584876e-10	26.861777544021606
6	-194.87839	138.3071	-1.4281229	-532.9635	93.45238	-38.06114	9.583874	-7.675416	-103.84706	28000	0.0023299232	9661.804	0.0	-2260.9639	1.375026	1.7285346e-09	30.895603895187378
7	-240.30867	132.72964	-67.22379	-572.7753	93.97619	-52.49915	20.295412	-6.227175	-173.53032	32000	0.0023926233	10111.794	0.0	-2489.9536	1.3749636	-2.682209e-10	34.79785633087158
8	-217.9547	132.95639	36.907745	-455.5535	90.74419	-69.379524	26.485115	-7.9945445	-221.81493	36000	0.005493373	7640.688	0.0	-987.73193	1.3750923	-1.1324882e-09	38.70213532447815
9	-180.68745	101.533	-13.546541	-391.29456	93.90476	-74.63705	24.759737	-10.394035	-252.59296	40000	-0.00035436367	3550.606	0.0	-273.5537	1.3755623	0.0	42.75691032409668
