Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-233.12933	118.26947	-20.56019	-501.3682	97.19512	-0.12701833	0.044952508	0.1265989	-0.30613798	4000	0.0029525766	18822.645	0.0	-394.35156	1.3647457	4.917383e-10	4.1982316970825195
1	-223.43066	120.827255	-31.110914	-570.52515	95.756096	-1.666102	0.44142917	0.26975858	-2.859901	8000	0.00419507	18711.137	0.0	-590.6543	1.3651363	-1.296401e-09	8.36492919921875
2	-239.30171	160.46683	48.475746	-676.91516	95.902435	-4.205356	1.0252934	-0.5552797	-6.4781804	12000	0.008537822	22265.512	0.0	-885.0371	1.3650689	1.192093e-10	12.503685712814331
3	-230.85257	138.38675	-3.5868592	-487.5141	95.31707	-7.8807254	1.5010085	-1.2208269	-10.508182	16000	0.005956584	18930.748	0.0	-870.90625	1.3673977	5.662441e-10	16.726114988327026
4	-231.75407	136.61221	-15.676288	-565.0042	92.78571	-11.304529	2.3024442	10.011214	-14.223255	20000	0.010179105	18453.377	0.0	-855.4043	1.3655396	-1.7881394e-10	20.891072034835815
5	-247.1703	135.03949	-48.397606	-571.70654	95.80488	-15.3788805	1.9148968	11.860503	-17.77178	24000	0.0070827473	18507.807	0.0	-881.46094	1.3660318	3.427267e-10	25.21971321105957
6	-216.15155	126.09689	14.680148	-567.00635	96.51219	-19.31382	0.96240324	-13.056528	-21.258352	28000	0.0060856687	12899.571	0.0	-579.4824	1.3665318	8.493662e-10	29.41373324394226
7	-208.08119	139.66153	-52.748116	-542.8701	96.414635	-22.560286	0.9612908	-18.310131	-24.191998	32000	0.0033083067	13097.659	0.0	-526.0957	1.3672696	2.9802324e-11	33.695183992385864
8	-194.52846	113.30787	-24.147465	-502.35245	94.54762	-25.491161	1.2636775	-6.766177	-26.961327	36000	0.0013682162	9620.557	0.0	-394.30957	1.3678027	1.7881394e-10	38.036397218704224
9	-256.28305	124.17667	-28.553675	-503.10138	101.4359	-28.082394	1.7704374	19.081095	-29.406507	40000	0.007624137	15851.532	0.0	-685.60645	1.3679302	7.4505807e-10	42.368632555007935
