Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-219.75116	117.9443	-66.0059	-499.42966	91.48837	0.23103209	0.03443862	0.668649	0.16600719	4000	0.004418657	18421.525	0.0	-2582.9775	1.3811669	7.4505807e-10	5.508819580078125
1	-206.65541	116.86523	-10.31556	-445.64935	87.26667	-11.303777	3.7200165	-5.4058223	-38.159954	8000	0.0066383067	14068.792	0.0	-9851.709	1.3810545	1.1920929e-09	10.606114387512207
2	-210.16855	112.309715	-72.15605	-493.68512	89.931816	-95.90912	35.208492	-41.916214	-330.783	12000	0.008259076	3318.2422	0.0	-680.01904	1.3810313	-7.4505807e-10	16.08229684829712
3	-187.91591	112.91605	6.240015	-470.3239	85.58696	-101.47476	26.10862	-45.682938	-313.49875	16000	0.00021675443	3551.3962	0.0	-369.81006	1.3819219	3.2782554e-10	21.161909341812134
4	-214.60751	112.44126	-45.35341	-476.96707	86.5	-105.38456	21.011957	-62.54751	-260.98288	20000	0.004996256	3307.2517	0.0	-284.99414	1.3815702	2.0861626e-10	26.79269790649414
5	-208.3102	118.653404	-27.34074	-485.58456	93.85714	-119.69219	24.058718	-67.72466	-300.17358	24000	0.006532386	2704.5247	0.0	-258.156	1.3818756	6.556511e-10	32.219781160354614
6	-192.24345	116.73451	10.692663	-513.0032	90.204544	-112.11697	29.803816	-36.00718	-318.13263	28000	0.002849037	3095.6907	0.0	-164.13037	1.3823026	1.3113022e-09	37.229387044906616
7	-171.47946	112.54986	20.764057	-451.4783	92.06977	-99.814674	27.284765	-29.936977	-289.73557	32000	0.00551618	3675.1516	0.0	-412.7815	1.3824722	-1.1026859e-09	42.34190273284912
8	-159.9219	112.08355	35.052364	-471.10956	85.934784	-92.54781	23.493887	-40.401726	-259.59177	36000	0.0059613544	2624.359	0.0	-185.23169	1.3826481	-4.4703483e-10	47.86949682235718
9	-212.1384	133.23181	-55.62957	-467.08615	88.73333	-97.50728	37.999218	-39.18119	-307.83597	40000	0.00089993695	3792.0854	0.0	-622.0149	1.3828678	2.9802322e-10	53.015618085861206
