Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-202.19606	122.30865	-56.755028	-478.431	82.895836	0.08653467	0.08038355	0.4583772	-0.2257191	4000	0.0033579343	17583.533	0.0	-1970.3281	1.3782581	1.7285346e-09	5.13835334777832
1	-201.51363	115.05621	-13.584652	-516.6077	86.76087	-8.722649	0.5068999	2.2760146	-9.016311	8000	0.0008160627	14310.695	0.0	-1266.3867	1.3786616	1.7881393e-09	10.464267253875732
2	-202.01544	116.83112	-54.854706	-507.3409	88.795456	-15.141065	0.35349214	-8.907685	-15.244717	12000	0.0038319675	12821.031	0.0	-968.58496	1.3793806	-3.5762787e-10	16.528632640838623
3	-173.58998	98.81229	-48.135456	-439.61804	88.51111	-20.54881	0.14803827	-18.303787	-20.596718	16000	3.530693e-05	8496.77	0.0	-661.8613	1.3795401	-6.854534e-10	22.714253187179565
4	-196.43056	117.24602	-9.052399	-484.9492	92.30232	-25.08839	0.066828825	-24.152426	-25.119345	20000	0.0021882248	10487.213	0.0	-733.8828	1.3802698	-6.854534e-10	28.256598234176636
5	-165.1126	101.9975	-3.1492245	-398.70218	86.934784	-29.880651	0.10683792	-27.630259	-29.902767	24000	0.00021773553	6907.5903	0.0	-475.86768	1.380522	-1.7285346e-09	33.8152289390564
6	-202.02214	113.10528	-73.57846	-490.01486	88.51111	-33.874413	0.041260503	-33.19749	-33.89021	28000	-0.00030447007	9184.003	0.0	-699.8887	1.380717	-1.192093e-10	39.08738327026367
7	-197.6691	115.51243	-16.242664	-468.16125	88.954544	-38.671265	0.035217386	-38.119137	-38.683857	32000	9.003711e-05	9076.389	0.0	-622.35156	1.3808938	-1.6391277e-09	44.26764416694641
8	-169.23222	109.62343	36.40052	-459.01474	89.72727	-43.29812	0.04819553	-40.61466	-43.307728	36000	-0.00026008277	6174.1357	0.0	-329.5415	1.3807997	-1.7881393e-09	49.427589416503906
9	-193.37875	115.05728	-8.074416	-444.57718	91.139534	-46.782867	0.023507806	-46.27847	-46.79091	40000	-0.0023668215	6969.6763	0.0	-428.1245	1.3805418	9.23872e-10	56.59253430366516
